,LTNE,LTNT,LTST,LTSE,UTNE,UTNT,UTST,UTSE,SNE,SNT,SST,SSE
JAN,112432,1.85E+06,2.42E+06,1.32E+06,128580,585584,1.20E+06,1.22E+06,0,0,0,0
FEB,156767,1.50E+06,2.65E+06,1.08E+06,173449,615026,1.13E+06,930720,0,0,0,0
MAR,232708,2.08E+06,2.69E+06,594106,243817,648743,1.00E+06,590544,0,0,0,0
APR,345996,1.78E+06,2.02E+06,292812,366563,719837,795038,352139,0,0,0,0
MAY,522522,2.15E+06,2.13E+06,141303,543242,853987,687447,209127,0,0,0,0
JUN,761760,2.16E+06,1.89E+06,98188.8,832406,1.03E+06,698830,149135,0,0,0,0
JUL,900376,2.32E+06,1.84E+06,106603,1.06E+06,1.14E+06,824840,159317,0,0,0,0
AUG,780584,2.71E+06,2.03E+06,182195,819778,1.13E+06,1.02E+06,249021,0,0,0,0
SEP,469535,2.00E+06,2.06E+06,327898,537103,1.01E+06,1.23E+06,423072,0,0,0,0
OCT,299628,2.52E+06,2.56E+06,564428,309812,789261,1.35E+06,687395,0,0,0,0
NOV,155838,1.12E+06,2.52E+06,958546,181577,691479,1.28E+06,1.00E+06,0,0,0,0
DEC,104400,1.22E+06,2.29E+06,1.27E+06,123284,602750,1.29E+06,1.19E+06,0,0,0,0
