,LTNT->LTNE,LTST->LTNT,LTSE->LTST,UTNT->UTNE,UTST->UTNT,UTSE->UTST,LTNE->UTNE,LTNT->UTNT,LTST->UTST,LTSE->UTSE
JAN,-1506,-69,1506,1506,69,-1506,-1506,-72,65,-1202.33
FEB,-1506,-69,1506,1506,69,-1506,-1506,-72,65,-1202.33
MAR,-1506,-69,1506,1506,69,-1506,-1506,-72,65,-1202.33
APR,581,-376,1075,-581,376,-1075,581,-228,279,-1087.62
MAY,581,-376,1075,-581,376,-1075,581,-228,279,-1087.62
JUN,581,-376,1075,-581,376,-1075,581,-228,279,-1087.62
JUL,1882,50,753,-1882,-50,-753,1882,52,-54,-804.117
AUG,1882,50,753,-1882,-50,-753,1882,52,-54,-804.117
SEP,1882,50,753,-1882,-50,-753,1882,52,-54,-804.117
OCT,-442,126,1506,442,-126,-1506,-442,98,-137,-1556.74
NOV,-442,126,1506,442,-126,-1506,-442,98,-137,-1556.74
DEC,-442,126,1506,442,-126,-1506,-442,98,-137,-1556.74
