,LTNE,LTNT,LTST,LTSE,UTNE,UTNT,UTST,UTSE,SNE,SNT,SST,SSE
JAN,258.493,281.342,283.148,267.782,225.539,243.356,244.796,234.375,216.6,207.197,207.411,222.747
FEB,257.708,281.382,283.239,268.1,225.252,243.346,245.073,235.094,217.171,207.51,207.645,221.783
MAR,259.462,281.828,283.053,266.882,226.208,243.209,244.747,233.84,217.914,208.107,208.186,219.576
APR,263.422,282.685,282.614,265.024,228.804,243.413,244.263,231.103,219.451,208.535,208.631,216.896
MAY,268.146,283.487,281.986,263.346,232.016,244.292,243.874,228.626,220.903,209.179,209.537,213.855
JUN,272.485,283.622,281.061,261.875,235.274,244.602,243.225,226.43,221.851,209.494,209.98,211.302
JUL,275.461,283.683,280.765,261.009,237.4,244.907,243.043,225.59,221.807,209.719,210.244,210.226
AUG,275.115,283.782,280.62,260.896,237.094,245.072,242.945,225.281,220.79,209.692,210.694,211.01
SEP,271.701,283.605,281,261.34,234.756,244.881,243.004,226.164,218.525,209.106,210.23,213.968
OCT,267.176,283.161,281.527,262.559,231.626,244.37,243.304,228.181,216.15,207.986,209.129,218.651
NOV,262.736,282.345,282.049,264.47,228.476,243.753,243.672,230.289,214.489,207.616,208.461,221.416
DEC,260.216,281.569,282.667,266.475,227.056,243.357,244.334,232.89,215.031,207.286,207.789,222.331
